STATION,LAT,LON,ALTITUDE,TEMP,MAXTEMP,MINTEMP,CLOUD,RAIN
Hameln,52.0848,9.3896,68,9.3,13.3,5.4,69,720
Hankensbüttel,52.7199,10.5987,108,8.3,12.7,4.3,69,709
Hannover,52.4644,9.6779,55,9.1,13.3,5.1,69,649
Harzgerode,51.652,11.1367,404,6.9,11.2,2.8,66,590
Hausstein,48.8629,13.067,648,7.3,11.4,3.9,61,1406
Hechingen,48.3751,8.9801,522,8.3,13.2,3.7,62,803
Weddingstedt,54.2181,9.0853,10,8.4,12,4.9,66,849
Heidelberg,49.4206,8.6676,110,10.6,14.7,7,65,753
Königstuhl,49.3981,8.7251,561,7.5,10.8,4.6,66,930
Heidenheim/Brenz,48.6765,10.1307,498,7.4,12.2,2.8,67,817
Heidenrod-Mappershain,50.1691,7.9949,496,7.5,11.3,4.4,67,839
Heilbronn,49.1448,9.2333,167,9.9,14.5,5.7,62,721
Heinsberg-Schleiden,51.0411,6.1042,57,10.2,14.3,6.1,68,693
Helgoland,54.175,7.892,4,8.9,10.8,7.1,67,726
Helmstedt,52.2164,11.0219,140,8.7,12.7,4.8,66,612
Helse. Kr. Dithmarschen,53.9701,9.0095,2,8.4,12,5.1,63,795
Herford,52.1264,8.6865,77,9.1,13.4,5.3,69,795
Herleshausen,51.0048,10.1705,215,8,12.4,3.9,70,652
Herrnhut,51.0167,14.75,344,7.7,11.6,4.1,78,700
Niederwörresbach,49.7672,7.3356,302,8.2,13.2,3.5,65,707
Hersfeld. Bad,50.8519,9.7378,272,8.6,13.2,4.2,70,694
Herten,51.589,7.1548,60,10.3,14.3,6.3,71,940
Hiddensee-Vitte,54.575,13.1044,1,8.6,11.9,6.3,63,596
Hildesheim,52.1408,9.8838,117,9,13,5.1,65,673
Hilgenroth,50.7371,7.6528,295,8.7,12.9,4.8,64,994
Hinterhermsdorf,50.9167,14.3667,385,6.8,11,2.8,75,851
Höllenstein (Kraftwerk),49.1279,12.8645,403,6.9,11.8,2.6,65,859
Bertsdorf-Hörnitz,50.899,14.7457,270,8.1,12.9,3.9,70,626
Hof (Stadt),50.323,11.9077,474,7.2,11.5,2.8,70,693
Hof,50.3122,11.8761,565,6.6,10.9,2.9,69,718
Hofgeismar-Beberbeck,51.5337,9.4786,242,7.8,11.9,3.9,71,802
Hofheim,50.1352,10.5156,263,8.5,13.1,3.9,63,640
Hohenpeißenberg,47.8009,11.0108,977,6.3,10.2,3.3,66,1046
Hohn,54.3146,9.539,10,8.3,11.7,4.3,67,780
Hohwacht,54.3194,10.6732,8,8.9,12.1,5.7,60,684
Holzkirchen,47.8823,11.6962,685,7.3,12.4,3.1,65,1304
Bevern. Kr. Holzminden,51.8529,9.4953,110,9,13.4,5,69,766
Homberg/Ohm,50.7316,9.0032,250,8.3,12.8,4.1,69,735
Homburg/Saar,49.3283,7.3561,235,9,13.9,4.6,64,865
Hornisgrinde,48.6136,8.2034,1119,4.7,8.2,2.2,70,1995
Hüll,48.6018,11.6769,438,7.4,12.5,2.3,64,810
Hümmerich,50.5651,7.4843,328,8.8,12.5,5.4,69,792
Husum,54.4752,9.0564,3,8,11.5,4.7,67,788
Ingolstadt (Flussmeisterstelle),48.7662,11.4539,360,8.4,13.3,3.6,63,659
Iserlohn-Westig,51.3768,7.7644,230,8.7,12.7,4.8,63,921
Jena (Sternwarte),50.9251,11.583,155,8.8,13.7,4.5,68,580
Jessen/Elster,51.7954,12.9583,77,9,14.3,5.6,64,537
Jever,53.5322,7.8806,7,8.5,12.3,5.1,66,784
Jork,53.5316,9.6752,1,8.2,12.6,4.4,66,721
Jülich (Forsch.-Anlage),50.9104,6.4093,91,10.1,14.5,6.2,67,700
Jüterbog,52.0006,13.1022,75,8.5,13.2,4.4,60,555
Kahl/Main,50.0643,8.993,107,9.6,14.6,5.2,67,678
Kahler Asten,51.1803,8.4891,839,5.1,8.2,2.5,75,1422
Kaiserslautern,49.4262,7.7557,271,8.9,13.4,4.7,69,681
Kaisheim-Neuhof,48.7701,10.7876,516,7.3,12.1,3.2,65,766
Kall-Sistig,50.5014,6.5264,505,7.6,11.6,4.1,70,812
Kaltennordheim,50.6266,10.1455,487,6.8,10.6,2.9,72,749
Karlshuld,48.6765,11.2961,374,7.6,13.1,2.5,68,683
Karlsruhe,49.0382,8.3641,112,10.2,14.6,6,66,794
Kassel,51.2963,9.4424,231,9.1,13.2,5.4,70,685
Kassel-Harleshausen,51.334,9.4506,198,8.6,12.5,4.8,73,620
Kaufbeuren,47.8652,10.6007,716,7.2,12,2.6,68,1124
Kaufering,48.0916,10.8609,585,8.1,12.5,4.1,68,980
Kempten,47.7233,10.3348,705,7.2,12.5,2.7,66,1238
Kiel-Holtenau,54.3761,10.1433,27,9.3,12.9,5.9,66,733
Kiel-Kronshagen,54.3378,10.0929,17,8.1,11.3,5.2,68,729
Kirchdorf/Poel,53.9995,11.4341,12,8.4,12,5.4,63,547
Kissingen. Bad,50.2241,10.0792,282,8.5,13.4,4.1,68,700
Kitzingen,49.7363,10.1781,188,9.4,14.3,4.9,63,580
Kleiner Feldberg/Taunus,50.2218,8.4469,826,5.6,8.8,3,71,956
Kleve,51.7612,6.0954,46,9.4,13.6,5.6,67,774
Klippeneck,48.1054,8.7549,973,6.4,10.3,3.2,65,857
Knittlingen,49.0265,8.7554,200,9.5,14.4,4.8,64,761
Koblenz-Horchheim,50.3369,7.5992,85,10.6,14.6,6.6,74,630
Köln-Botanischer Garten,50.9615,6.9712,45,10.3,14.1,6.7,67,700
Köln-Bonn,50.8646,7.1575,92,10.1,14.5,5.6,68,797
Königshofen. Bad,50.284,10.4456,288,8.5,13.3,3.6,64,611
Kösching,48.8302,11.4872,416,8.3,12.9,4.4,74,705
Kösen. Bad,51.1329,11.7252,136,8.9,13.7,5,63,549
Köthen (Anhalt),51.7511,12.0094,76,9,13.5,4.8,67,516
Konstanz,47.6774,9.1901,442,9.6,14,6,71,836
Kronach,50.2523,11.3209,312,8.4,12.9,4,74,790
Krumbach-Edenhausen,48.251,10.4163,520,7.6,12.3,3.2,69,918
Künzelsau,49.2795,9.6925,225,8.8,14,4.4,64,853
Kyritz,52.9363,12.4093,40,8.5,13.3,4.6,71,551
Lahr,48.3647,7.828,155,10.5,15.1,6.2,67,853
Merklingen,48.5121,9.7645,685,7,11.3,3,66,944
Landsberg/Lech,48.0349,10.8709,602,7.2,11.4,2.7,66,1027
Landshut,48.5357,12.1132,393,7.8,13,3.1,65,715
Langeoog,53.7445,7.4775,5,8.8,11.2,6.1,69,743
Lauchstädt. Bad,51.3912,11.8785,119,9.2,13.4,5,65,476
Lauda-Königshofen-Gerlachsheim,49.5781,9.7142,199,9,13.9,4.3,65,643
Leck (A),54.775,8.9808,5,7.5,11.2,4.2,68,855
Leck,54.7903,8.9514,7,8.4,11.8,4.7,66,778
Leinefelde,51.3933,10.3123,356,7.9,11.9,4.3,71,682
Leipzig-Holzhausen,51.3151,12.4462,138,9.1,13.1,5.2,66,606
Leipzig/Halle,51.4348,12.2396,131,9.1,13.3,5.1,66,511
Lennestadt-Theten,51.1334,8.0352,286,8.4,13,4.2,70,1031
Lenningen-Schopfloch,48.5396,9.5275,758,7.1,10.7,4,67,1025
Lensahn,54.219,10.8844,14,8.7,12.2,5.2,67,700
Köln-Stammheim,50.9894,6.9777,43,10.5,14.3,6.7,68,715
Liliental,48.0674,7.677,284,8.9,13.8,4.7,63,823
Limburg/Lahn-Offheim,50.4116,8.0605,185,9.4,14.2,5,65,643
Limburgerhof,49.4111,8.398,96,9.8,15,5.4,62,574
Lindenberg,52.2085,14.118,98,8.8,13,4.9,66,556
Lindenfels-Winterkasten,49.7117,8.7804,445,8.4,12,5,65,1117
Lingen,52.5181,7.3081,22,9.2,13.3,5.6,69,751
Lippspringe. Bad,51.7855,8.8388,157,9.2,13.2,5.5,70,912
Lippstadt-Bökenförde,51.6336,8.3945,92,9.9,14.1,5.6,67,780
List auf Sylt,55.011,8.4125,26,8.7,11.1,6.5,67,698
Lobenstein. Bad,50.4505,11.635,500,6.6,12.5,3.3,59,800
Löningen,52.7198,7.7472,22,8.8,13,4.7,74,744
Lohr/Main-Steinbach,50.0103,9.61,161,8.5,14.1,4.5,67,771
Lorch/Rhein,50.0352,7.8197,100,9.3,14.2,4.9,67,602
Ludwigshafen-Mundenheim,49.4606,8.4246,95,10.3,14.6,6.1,60,597
Lübeck,53.8773,10.6915,15,8.3,12,5,67,644
Lübeck-Blankensee,53.8025,10.6988,16,8.7,13.5,4.8,66,656
Lübeck-Werft,53.8953,10.704,5,8.3,12,4.8,63,633
Lüchow,52.9724,11.1374,17,8.9,13.1,4.5,69,539
Lüdenscheid (Zeppelin-Gymnasium),51.2131,7.6359,444,7.8,11.4,4.8,72,1235
Lüdinghausen,51.7694,7.4128,58,9.6,13.8,5.2,68,803
Lüneburg,53.2657,10.424,11,8.6,12.7,4.6,66,620
Magdeburg,52.1029,11.5827,76,9.1,13.4,5,66,505
Mainz-Lerchenberg (ZDF),49.9656,8.2139,195,10.1,14.2,6.2,66,559
Mallersdorf-Pfaffenberg/Niederbayern,48.7726,12.2177,418,8.2,12.8,3.9,66,660
Manderscheid-Sonnenhof,50.1015,6.8009,413,8,12.2,4.1,66,884
Manschnow,52.5468,14.5452,12,9.3,13.5,4.8,66,464
Cölbe. Kr. Marburg-Biedenkopf,50.8492,8.7746,187,8.6,12.8,4.4,66,662
Marienberg,50.651,13.1469,639,6.7,10.7,3.2,72,853
Marienberg. Bad,50.662,7.9602,547,7.1,10.5,4.2,72,1109
Marnitz,53.3223,11.9319,81,8.1,12.3,4.5,69,660
Mayen,50.3249,7.23,230,9.1,13.6,4.8,65,582
Meersburg,47.6985,9.2753,460,8.9,12.8,5.2,66,845
Meiningen,50.5612,10.3771,450,7.7,11.9,3.7,70,660
Garsebach bei Meißen,51.1294,13.4327,157,8.8,13.2,4.8,60,629
Memmingen,47.982,10.1384,615,7.7,12.3,3.6,67,974
Mergentheim. Bad-Neunkirchen,49.4773,9.7622,250,8.9,13.8,4.5,67,672
Metten,48.8548,12.9187,313,8,13.1,3.4,69,936
Mittenwald-Buckelwiesen,47.4779,11.2653,981,6.8,12.2,2.5,63,1381
Modautal-Neunkirchen,49.7328,8.7771,508,7.8,10.7,4.9,66,953
Montabaur,50.4383,7.8061,265,8.6,13.2,4,68,797
Mühldorf,48.2791,12.5024,406,8.2,13.2,3.6,68,865
Müncheberg,52.5176,14.1232,63,8.7,13.1,4.6,69,543
München-Stadt,48.1631,11.5429,515,9.5,13.6,5.5,65,955
München-Bogenhausen,48.1441,11.6,521,7.4,12.3,4.2,66,830
München-Botanischer Garten,48.1635,11.5019,515,8,12.7,3.9,65,920
München-Nymphenburg,48.166,11.5011,515,8,12.6,3.7,65,930
München-Riem,48.1369,11.7094,529,7.7,12.5,3.3,66,941
Münsingen-Apfelstetten,48.3851,9.4837,750,6.6,11.2,2.3,65,895
Münster,51.9494,7.5906,62,9.2,13.3,5.4,66,740
Murrhardt,48.9729,9.5708,344,8.4,13.6,3.8,67,1079
Muskau. Bad,51.566,14.7009,125,8.6,13.3,4.1,64,642
Nagold,48.5667,8.7184,380,8,13.8,3.1,68,789
Nauheim. Bad,50.3574,8.7506,148,9.2,13.5,5.1,64,589
Neubrandenburg,53.5468,13.1914,81,8.1,12,4.7,67,500
Neudenau,49.2931,9.2722,212,9.7,14.5,5.4,59,786
Neuenahr. Bad-Ahrweiler,50.5346,7.0853,111,9.9,14.8,5.3,65,650
Neuhaus am Rennweg,50.5002,11.1344,845,5.5,9.2,2.4,72,1166
Neukirchen-Hauptschwenda,50.8923,9.405,500,6.9,10.6,3.4,68,801
Neumünster,54.0873,9.9791,26,8.3,12.3,4.6,66,779
Neunkirchen-Seelscheid-Meisenbach,50.8956,7.3081,185,8.9,12.9,5.3,67,950
Neunkirchen-Wellesweiler,49.3436,7.2295,236,9.6,14.4,5,63,848
Neuruppin,52.9037,12.8072,38,8.7,13,5.2,65,533
Neustadt/Aisch,49.5728,10.6001,315,8.3,13,4,68,669
Neustadt/Weinstraße,49.357,8.1405,163,10.1,14.6,5.9,66,641
Neustrelitz,53.3585,13.0502,64,8,12.2,3.9,68,605
Nidderau-Windecken,50.2335,8.8923,180,9.8,14,5.8,68,655
Niederelbert,50.4107,7.808,250,8.6,13.4,4.3,67,951
Niederstotzingen,48.5334,10.243,451,7.5,12.3,2.8,67,701
Nienburg,52.6711,9.2229,25,9.2,13.3,5.2,66,689
Reimlingen,48.8254,10.5066,435,8.3,12.9,3.9,67,638
Norderney,53.7123,7.1519,11,9.1,11.5,6.8,67,720
Nordhorn-Blanke,52.4124,7.064,24,9.5,13.7,5.7,66,789
Nürburg,50.3391,6.9501,627,6.7,10.1,3.8,69,841
Nürnberg-Buchenbuehl,49.5008,11.107,335,8.4,12.9,4,67,662
Nürnberg-Netzstall,49.4258,11.2538,368,8.7,13.6,3.8,64,742
Nürnberg,49.503,11.0549,314,8.9,13.3,4.1,67,627
Nürtingen,48.6321,9.3261,280,8.7,14,3.8,68,789
Kiefersfelden-Gach,47.6187,12.1666,518,7.8,13.2,3.5,65,1345
Oberschleißheim,48.2443,11.5528,484,7.7,13.2,3.2,66,876
Oberstdorf,47.3986,10.276,806,6.1,12.1,1.2,65,1740
Oberviechtach,49.4521,12.4366,596,7.2,11.5,3.2,66,788
Öhringen,49.207,9.5175,276,9.5,14.2,5.3,64,805
Offenbach/M. (Stadt),50.0946,8.7546,110,9.9,14,6,67,623
Offenburg,48.4593,7.9255,153,10.4,14.9,6.4,68,892
Oldenburg (A),53.1018,8.2516,5,8.6,12.6,4.8,70,729
Oschatz,51.296,13.0928,150,9,13.8,5.1,64,582
Osnabrück,52.2553,8.0534,95,9.4,13.2,5.8,69,826
Osterfeld,51.0873,11.9292,246,8.5,12.2,4.8,72,446
Ostheim v.d. Rhön,50.4538,10.2211,312,8.3,13,3.7,67,605
Oy-Mittelberg,47.6383,10.4313,1010,6.6,10.3,3.1,63,1610
Parsberg/Oberpfalz-Eglwang,49.151,11.6896,549,7.7,11.9,3.9,62,795
Passau-Oberhaus,48.5779,13.4694,409,8.1,12.8,4,67,928
Perl-Besch,49.5114,6.3857,175,9.9,14.6,5.4,63,736
Perl-Nennig,49.5356,6.3804,152,9.9,14.5,5.2,65,702
Pforzheim-Eutingen,48.9059,8.7412,246,9,14,4.6,63,783
