STATION,LAT,LON,ALTITUDE,TEMP,MAXTEMP,MINTEMP,CLOUD,RAIN
Schwandorf,49.3278,12.0871,356,8.3,13.2,3.8,66,671
Schwarzenberg,50.5513,12.7678,418,6.8,11.3,1.8,66,828
Schweinfurt-Gartenstadt,50.0575,10.216,240,9,13.7,4.9,65,600
Schwerin,53.6425,11.3872,59,8.4,12.2,4.9,67,606
Seehausen,52.8911,11.7297,21,9,13.5,4.7,68,550
Seesen,51.904,10.1885,186,8.5,12.4,4.7,69,830
Segeberg. Bad,53.9278,10.2993,49,7.9,11.4,4.1,67,728
Selb/Oberfranken-Wildenau,50.1969,12.1727,611,6.2,10.6,1.7,67,724
Siegen (Kläranlage),50.8534,7.9966,229,8.5,13.1,4.3,70,1080
Sigmaringen-Laiz,48.0719,9.1942,580,7.2,12.3,2.8,66,767
Simbach/Inn,48.2719,13.0273,360,9,13.6,4.7,65,912
Simmern-Wahlbach,49.9996,7.5981,445,8.4,12.2,4.6,66,664
Solingen-Hohenscheid,51.14,7.093,154,9.1,12.8,5.9,70,1085
Soltau,52.9604,9.7931,76,8.6,12.9,4.5,69,772
Sondershausen,51.352,10.9059,216,8.3,12.9,4.1,63,562
Sonneberg-Neufang,50.3746,11.1828,626,6.3,10,3.5,73,941
Sontra,51.0607,9.9266,265,8.1,12.5,3.3,72,680
Sooden-Allendorf. Bad,51.2801,9.9849,199,8.9,13.1,4.5,72,645
Stammbach-Querenbach,50.1531,11.7403,598,6.6,11.2,2.4,68,1017
Oberharz am Brocken-Stiege,51.6681,10.8823,494,6.6,10.9,2.4,70,822
Stötten,48.6657,9.8646,734,7.2,10.9,4.1,68,1058
Wagersrott,54.6654,9.805,40,8.2,11.6,4.9,69,750
Straubing,48.8275,12.5598,350,8.4,13.2,3.9,66,700
Stuttgart (Neckartal),48.7896,9.2167,224,11,15.4,7,61,641
Stuttgart-Stadt,48.7693,9.1814,286,9.9,14.1,6.2,65,658
Stuttgart (Schnarrenberg),48.8282,9.2,314,10,14.2,6.1,66,647
Stuttgart-Echterdingen,48.6883,9.2235,371,8.9,13.3,4.6,66,705
Stuttgart-Hohenheim,48.7091,9.2147,401,8.5,12.9,4.5,63,676
Tann/Rhön,50.639,10.0228,395,8.3,12.6,4.1,69,770
Teterow,53.761,12.5574,38,8.3,12.3,4.7,65,535
Worpswede-Hüttenbusch,53.2758,8.9857,7,8.8,12.9,4.6,69,744
Teuschnitz,50.4002,11.3889,633,6.6,10.6,2.7,68,972
Tholey,49.4738,7.0386,386,8.5,12.8,5.3,66,955
Tirschenreuth-Lodermühl,49.8576,12.3542,500,7.2,11.6,3.1,73,692
Titisee-Neustadt-Langenordnach,47.9394,8.1933,870,6,11.5,1,65,1233
Tönisvorst,51.2897,6.4437,37,9.9,14.3,6.2,64,772
Torfhaus im Solling,51.7643,9.5628,491,6.3,9.9,3,66,1096
Torgau,51.5833,13,80,8.9,13,4.8,66,536
Traunstein-Sparz,47.8663,12.6566,626,7.4,12.2,3.3,63,1517
Traunstein-Axdorf,47.8516,12.6182,635,8,12.6,4.3,64,1431
Travemünde,53.9619,10.8892,2,8.5,11.8,5.4,65,629
Tribsees,54.0661,12.7675,10,8.6,13,4.6,56,614
Trier-Zewen,49.7326,6.6131,132,9.8,14.4,5.6,67,733
Trier-Petrisberg,49.7479,6.6582,265,9.5,13.9,5.6,69,741
Trochtelfingen,48.3132,9.2472,700,5.7,11.5,0.3,71,788
Trostberg,48.0311,12.5396,559,8.2,13,3.7,65,1047
Tübingen,48.5198,9.0515,370,8.5,13.5,3.9,68,0
Überlingen/Bodensee,47.7713,9.1562,446,8.9,13.2,5,66,857
Ueckermünde,53.7444,14.0697,1,8.3,12.2,4.7,66,547
Uelzen,52.9414,10.5289,50,8.5,12.6,4.4,65,624
Gollhofen,49.5741,10.1916,308,8.7,13.1,4.3,65,642
Ulm,48.3837,9.9524,567,8.1,12.4,3.9,69,727
Unterlüß,52.8499,10.2898,95,8.4,12.9,4.1,70,780
Uttenreuth,49.5933,11.0704,291,8.6,13.8,3.5,64,750
Villingen-Schwenningen,48.0453,8.4608,720,6.6,11.9,1.7,66,865
Visbek,52.8318,8.3112,51,8.7,12.3,5,70,779
Vogtsburg-Oberrotweil,48.0908,7.6353,223,10.2,14.8,6,64,697
Waghäusel-Kirrlach,49.2445,8.5374,105,11,15.6,6.6,59,671
Wahlsburg-Lippoldsberg,51.6184,9.5761,176,9,13.2,5.1,69,795
Wittenborn,53.9223,10.2268,35,9,13,5.2,69,856
Wahnsdorf bei Dresden,51.1197,13.6744,246,8.5,12.4,5,68,637
Waldeck,51.207,9.0658,376,7.8,11.4,4.2,75,616
Waldems-Reinborn,50.2596,8.3607,380,8.5,12.3,4.9,66,738
Waldhäuser (National Park),48.9293,13.4641,940,5.7,9.7,2.6,64,1333
Waldshut,47.6172,8.2388,330,9.1,14.1,4.9,66,1094
Waltershausen,50.8963,10.5484,348,7.8,12.7,4.4,65,714
Wangerooge,53.7852,7.8533,4,9.1,11.7,6.7,67,780
Waren (Müritz),53.5196,12.6654,73,8.1,12.1,4.6,69,582
Wartenberg-Angersbach,50.6271,9.442,270,8.2,13,3.7,72,686
Wasserburg,48.0572,12.2202,443,7.9,13.2,3.6,67,1083
Wasserkuppe,50.4973,9.9428,921,5.1,8.4,2.4,72,1092
Weiden,49.6663,12.1845,440,7.7,12.4,3.5,66,684
Weidenbach. Kr.Ansbach,49.1965,10.6487,425,7.5,12.4,3.3,61,669
Weilburg (Kläranlage),50.4732,8.2588,150,8.6,13.2,4.2,70,737
Weimar,50.9751,11.3076,264,8.5,13.2,4.5,67,550
Weinbiet,49.3758,8.1213,553,8.3,12,5.3,66,594
Weinsberg,49.1512,9.292,219,9.4,14.2,5.2,68,735
Weiskirchen/Saar,49.5534,6.812,380,9.1,12.9,5.5,67,1206
Weismain,50.0858,11.2364,317,7.5,12.6,2.8,67,755
Weißenburg-Emetzheim,49.0116,10.9308,439,8.2,12.8,3.9,67,663
Weißenfels,51.2002,11.9154,109,9.6,14.2,5.9,64,492
Wendelstein,47.7035,12.0119,1832,2.5,5.7,0,67,1871
Mühlhausen. Kr. Schweinfurt,49.9622,10.0482,216,8,12.9,3.4,66,567
Wernigerode,51.8454,10.7686,234,8.8,12.7,4.6,71,561
Wertheim-Eichel,49.7667,9.5428,140,9.1,14,4.9,63,683
Westerland,54.8991,8.3123,3,8.2,10.8,5.6,69,714
Fehmarn,54.5284,11.0605,3,8.7,11.4,6.1,65,553
Wiesbaden-Dotzheim,50.0863,8.1872,235,8.4,12.7,4.8,65,695
Wiesenburg,52.1207,12.4585,187,9.2,12.6,5.1,71,594
Wildbad. Bad-Calmbach,48.7848,8.5764,385,8,13.3,3.8,63,1238
Wildungen. Bad,51.1056,9.1081,310,8.1,12,4.2,75,631
Wilhelmshaven,53.5901,8.106,1,8.5,11.7,5.6,65,748
Wittenberg,51.8892,12.6445,105,9,13.6,5.2,68,572
Wittstock-Rote Mühle,53.1864,12.4949,66,8.7,13.4,4.6,58,577
Witzenhausen,51.3493,9.8438,133,8.7,13.2,4.5,70,659
Wörnitz-Bottenweiler,49.2178,10.2296,464,7.9,12.5,3.5,64,824
Wolfach,48.2953,8.2391,291,9.7,15,5.5,67,1277
Wolfsburg (Südwest),52.3962,10.6892,82,9.8,14,5.9,65,660
Worms,49.6051,8.3659,88,10.3,14.6,6.2,66,558
Würzburg (Klärwerk),49.7964,9.8949,170,9.3,13.7,4.9,68,580
Würzburg,49.7703,9.9577,268,9.4,13.9,5.3,66,592
Würzburg (Physikalisches-Institut),49.7995,9.928,175,8.8,13.6,4.7,66,576
Wuppertal-Buchenhofen,51.2248,7.1053,130,9.5,13.5,5.8,68,1116
Wutöschingen-Ofteringen,47.6783,8.3801,398,8.8,14.1,4.4,67,998
Wrixum/Föhr,54.6928,8.5271,8,8.5,11.4,5.8,67,732
Zehdenick,52.9664,13.3268,51,8.6,13.1,4.4,65,543
Zeitz,51.0314,12.1495,170,9.2,13.3,5.4,65,582
Zerbst,51.9642,12.0996,69,8.5,13.1,4.1,64,529
Zinnwald-Georgenfeld,50.7314,13.7516,877,4.9,8.1,2.1,72,1000
Zugspitze,47.4209,10.9847,2964,0,0,0,67,1775
Lichtentanne,50.6878,12.4329,353,8.3,12.9,4.4,67,707
Zwieselberg,49.0007,13.2137,615,6.4,11.9,1.5,65,1023
Berge,52.6198,12.7867,40,9.1,13.8,5.4,64,514
Kirchheim/Teck-Ötlingen,48.6582,9.4203,289,8.7,13.9,3.7,62,763
Kohlgrub. Bad (A),47.6777,11.0473,850,6.8,10.7,2.9,63,1481
Mannheim,49.509,8.5541,96,10.4,14.7,6.2,66,601
Melsungen-Bürstoß,51.1318,9.5189,254,8.5,13,4.3,73,695
Neuwied,50.4485,7.4275,91,9.6,14.1,5.3,65,708
Reit im Winkl,47.6754,12.4698,685,6.4,12.1,1.4,61,1727
Dörpen,52.9542,7.3196,8,9.3,13.2,5.5,68,786
Nossen,51.0507,13.3003,308,8.5,12.7,4.5,57,657
Aulendorf-Haslach,47.9655,9.6804,565,7.8,12.3,3.7,70,875
Neuglobsow (HM),53.1424,13.0319,62,8.2,12.4,4.4,68,567
Hersdorf-Weißenseifen,50.1505,6.5526,530,7.3,11.1,4,73,997
Hamburg (Deutsche Seewarte),53.5467,9.9716,29,8.6,11.8,5.7,69,734
